scene_name,dataset,mean_gradient,gradient_std,high_gradient_ratio,difficulty
stair,FreeDataset,0.0005110917409348103,0.02999894309961257,0.011079976764808461,困難
lab,FreeDataset,0.0018095450032682748,0.03431090859182557,0.05677389873227042,中等
hydrant,FreeDataset,0.0030427435970036233,0.05357817776495454,0.11100377296326812,中等
sky,FreeDataset,0.0011729232081075804,0.03306459595383066,0.051698055453979846,中等
pillar,FreeDataset,0.006609600639645303,0.09902692664638137,0.17499405129392395,中等
grass,FreeDataset,0.552671831178969,1.0091800955608163,0.25,簡單
road,FreeDataset,0.003246003157834507,0.0734739968443868,0.11841576762021823,中等
room,Mip-NeRF-360,0.0020709475517048737,0.0596337752655807,0.016830694928532,中等
bicycle,Mip-NeRF-360,0.0003763616288077832,0.014624613133063638,0.017632800439791284,困難
counter,Mip-NeRF-360,0.017506464975061236,0.15055909609330645,0.15375955771136493,簡單
bonsai,Mip-NeRF-360,0.017822111168775565,0.1287889589830509,0.16954933328390118,中等
stump,Mip-NeRF-360,0.0001965137714752371,0.011888624156840976,0.013518015578460512,困難
garden,Mip-NeRF-360,0.02300941565598441,0.15696954128144067,0.15776735296587907,簡單
kitchen,Mip-NeRF-360,0.025801234298360985,0.2337831780374165,0.1193476407576263,簡單
Ballroom,TanksandTemples,0.004847220457625351,0.05094402541167589,0.11807159289750094,中等
