scene,mode,psnr,ssim,lpips
bicycle,test,24.26696216412545,0.6571858471562221,0.38350810130437213
bicycle,train,24.010388470490764,0.709466159700225,0.3546750034394819
counter,test,28.661409607069487,0.8944873597404087,0.19625265463844113
counter,train,30.02883635744531,0.9124391290342831,0.17977637593379894
garden,test,26.44097942618794,0.8119258813343969,0.2335120616480708
garden,train,27.97715661980439,0.8433597136628442,0.2203420862077309
kitchen,test,30.589072347700704,0.9308770114190086,0.1154211669805504
kitchen,train,31.87565265727331,0.9452274699480129,0.10274432917873634
room,test,31.27695130053159,0.9235754499290999,0.21290491269821796
room,train,33.65698832274716,0.9389059246995003,0.19801715256956717
stump,test,24.792294269162184,0.6465922925733506,0.4177612056955695
stump,train,25.92195939827945,0.7022722408873215,0.3992927098356256
