sigma,schedule,mode,psnr,ssim,lpips
sigma100,cosine,test,26.961097942046024,0.7708251570416946,0.31504909498270967
sigma100,cosine,train,27.806725920371694,0.7932643413699094,0.30173138193384835
sigma100,linear,test,27.247956118037916,0.7854722082984975,0.29708797950418836
sigma100,linear,train,28.148875836463844,0.8095116194979388,0.28335153540013713
sigma100,sqrt,test,26.8128126255681,0.7667842460451251,0.31943522700691945
sigma100,sqrt,train,27.6028122034356,0.7887991403823182,0.30671159928711433
sigma30,cosine,test,28.304873559803493,0.8448796111597724,0.2130344482590647
sigma30,cosine,train,29.883414996095144,0.8833005652214716,0.19183440025623896
sigma30,linear,test,28.427208265780525,0.8514185858655837,0.20279416125979047
sigma30,linear,train,30.17009240683578,0.8930372117839274,0.17988213198590983
sigma30,sqrt,test,28.273720603541303,0.8452640337418132,0.2119591919525493
sigma30,sqrt,train,29.85906046283833,0.8837577596766214,0.19133660830169227
